Minister,Row_ID,Column I,Column II,Column III
Minister of Defence,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
Minister of Defence,2,"1. Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subject of Defence, and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","1. Office of the Chief of Defence Staff
2. Sri Lanka Army
3. Sri Lanka Navy
4. Sri Lanka Air Force
5. State Intelligence Service
6. Civil Security Department
7. Department of Multipurpose Development Task Force
8. National Cadet Corps
9. National Authority for the Implementation of Chemical Weapons Convention
10. Sir John Kotelawala Defence University
11. Defence Services Command and Staff College
12. Miloda Institute - as a Faculty of Kotelawala Defence University
13. Defence Services School
14. Defence Research and Development Centre
15. Institute of National Security Studies
16. National Defence College
17. Rakna Arakshana Lanka Ltd.
18. Coast Guard Department of Sri Lanka","• Chief of Defence Staff Act, No. 35 of 2009
• Army Act No. 17 of 1949
• Navy Act No. 34 of 1950
• Air Force Act No. 41 of 1949
• Extradition Law, No. 8 of 1977
• Explosives Act, No. 21 of 1956
• Firearms Ordinance No. 33 of 1916
• Firing Ranges and Military Training Act, No. 24 of 1951
• Mobilization and Supplementary Forces Act, No. 40 of 1985
• Offensive Weapons Act, No. 18 of 1966
• Piracy Act, No. 9 of 2001
• Prevention of Terrorism Act, No. 48 of 1979
• Public Security Ordinance, No. 25 of 1947
• Chemical Weapons Convention Act, No. 58 of 2007
• Sir John Kotelawala Defence Academy Act, No. 68 of 1981
• Defence Services Command and Staff College Act, No. 5 of 2008
• Suppression of Terrorist Bombings Act, No. 11 of 1999
• Suppression of Unlawful Acts Against the Safety of Maritime Navigation Act, No. 42 of 2000"
Minister of Defence,3,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner.,,
Minister of Defence,4,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
Minister of Defence,5,4. Ensuring national security.,,
Minister of Defence,6,5. Maintenance of internal security.,,
Minister of Defence,7,6. Maintenance of national and internal security-related intelligence services.,,
Minister of Defence,8,7. Maintenance of relations with visiting Armed Forces,,
Minister of Defence,9,8. Extension of cooperation to international humanitarian operations.,,
Minister of Defence,10,9. Matters relating to explosives and firearms,,
Minister of Defence,11,10. Matters relating to maintenance of light houses (other than those belonging to the Ports Authority),,
MINISTER_OF_DEFENCE_CONTD.,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_DEFENCE_CONTD.,2,11. Provision of defence education and post-service education for defence service personnel,19. National Dangerous Drugs Control Board,"• Private Security Agencies Act, No. 45 of 1998"
MINISTER_OF_DEFENCE_CONTD.,3,12. Provision of higher education for defence service personnel,20. National Defence Fund,"• Department of Coast Guard Act, No. 41 of 2009"
MINISTER_OF_DEFENCE_CONTD.,4,13. Matters relating to private security services,21. Ranaviru Seva Authority,"• Convention against Illicit Traffic in Narcotic Drugs and Psychotropic Substances Act, No. 1 of 2008"
MINISTER_OF_DEFENCE_CONTD.,5,14. Rescue operations and administration of Coast Guard Service,22. Api Wenuwen Api Fund,"• National Dangerous Drugs Control Board Act, No. 11 of 1984"
MINISTER_OF_DEFENCE_CONTD.,6,15. Matters relating to Extradition,23. Department of Meteorology,"• Ranaviru Seva Authority Act, No. 54 of 1999"
MINISTER_OF_DEFENCE_CONTD.,7,16. Prevention and control of the use of dangerous drugs,24. National Disaster Management Council,"• Drug Dependent Persons (Treatment and Rehabilitation) Act, No. 54 of 2007"
MINISTER_OF_DEFENCE_CONTD.,8,17. Matters relating to veteran and disabled soldiers,25. Disaster Management Centre,"• Api Wenuwen Api Fund Act, No. 6 of 2008"
MINISTER_OF_DEFENCE_CONTD.,9,18. Provision of weather and climate related services,26. National Disaster Relief Services Centre,"• Sri Lanka Disaster Management Act, No. 13 of 2005"
MINISTER_OF_DEFENCE_CONTD.,10,19. Meteorological surveys and research,27. National Building Research Organization,"• Sri Lanka Telecommunications Act, No. 25 of 1991"
MINISTER_OF_DEFENCE_CONTD.,11,20. Landslide disaster management and related research and development,,"• All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
MINISTER_OF_DEFENCE_CONTD.,12,21. Forecasting natural disasters and sensitizing relevant sectors regarding them,,
MINISTER_OF_DEFENCE_CONTD.,13,22. Coordination of awareness programmes on natural and man-made disasters,,
MINISTER_OF_DEFENCE_CONTD.,14,23. Conduct rescue operations during natural and man-made disasters,,
MINISTER_OF_DEFENCE_CONTD.,15,24. Promotion of disaster resilient construction and provision of technical guidance.,,
MINISTER_OF_DEFENCE_CONTD.,16,,,
MINISTER_OF_DEFENCE_CONTINUED,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_DEFENCE_CONTINUED,2,25. Encourage research and development into appropriate technology for housing and construction sector,,
MINISTER_OF_DEFENCE_CONTINUED,3,"26. Promote sustained development in the telecommunication industry by shaping the regulatory process, protecting public interest and being responsive to challenges in an increasingly competitive market",,
MINISTER_OF_DEFENCE_CONTINUED,4,27. All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_DEFENCE_CONTINUED,5,28. Supervision of all the Institutions listed in Column II,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,2,"1. Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subjects of Finance, Economic Stabilization and Taxation and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","National Planning Department
Department of Project Management and Monitoring
Department of External Resources
State Resources Management Corporation
General Treasury
Department of Fiscal Policy
Department of National Budget
Department of Management Services","
• Appropriation Acts
• Customs Ordinance, No. 17 of 1956
• Foreign Loans Act, No. 29 of 1957
• Debits Tax Act, No. 12 of 2007
• Betting and Gaming Levy Act, No. 40 of 1998
• Economic Service Charge Act, No. 13 of 2006
• Public Service Mutual Provident Association Ordinance, No. 5 of 1891"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,3,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,4,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,5,Formulation of national economic and financial policies and strategies,Department of Public Finance,Excise Ordinance (Chapter 52)
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,6,Preparation of national development and public investment programmes,Department of Treasury Operations,"Finance Leasing Act, No. 56 of 2000"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,7,Formulation of fiscal and macro fiscal management policies,Department of State Accounts,"Financial Transactions Reporting Act, No. 6 of 2006"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,8,Identify causes for the economic crises and introduce immediate resuscitation remedies and programmes,Department of Information Technology Management,"Regulation of Insurance Industry Act, No. 43 of 2000"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,9,"Introduce, implement and monitor economic reforms programmes needed to establish a stable and sustainable economic growth in the country.",Department of Legal Affairs,"Public Fiscal Management (Responsibility) Act, No. 3 of 2003"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,10,Monitor the mechanism for implementation of cross-sectoral national policy priorities.,Department of Management Audit,"Lady Lochore Fund Act, No. 38 of 1951"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,11,Function as the Focal Point for facilitation and coordination of international and regional trade integration including bilateral and multilateral trade agreements and resolution of disputes arising from these agreements.,Department of International Trade Integration,"Nation Building Tax Act, No. 9 of 2009"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,12,Preparation of the annual budget and management of financial resources,Department of Development Finance,"Business Names Act, No. 07 of 1987"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,13,,Office of Comptroller General,Companies Act No. 07 of 2007
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,14,,Department of Inland Revenue,Trade Marks Act No. 30 of 1964
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,15,,Sri Lanka Customs,Cheetus Ordinance No. 61 of 1935
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,16,,Department of Excise,Public Contract Act No. 03 of 1987
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,17,Duties & Functions,National Lotteries Board,"Prevention of Money Laundering Act, No. 5 of 2006"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,18,12. Ensuring the execution of the national budget and enforcing budgetary and financial controls,Development Lotteries Board,"Sri Lanka Accounting and Auditing Standards Act, No. 15 of 1995"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,19,13. Management of national tax policies and effective use of Government revenue,Department of Valuation,"Import and Export (Control) Act, No. 1 of 1969"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,20,14. Coordination of public and private sector activities for economic development,Import and Export Control Department,
