Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_AGRICULTURE_CONTD.,1,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.","Lanka Poshpate Limited
9. National Fertilizer Secretariat
10. Ceylon Fertilizer Company Ltd.
11. Colombo Commercial Fertilizer Company
12. National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board)
13. Institute of Post-Harvest Technology
14. Department of Animal Productionand Health
15. National Livestock Development Board and affiliated companies
16. Milco (Pvt.) Ltd
17. Mahaweli Livestock Enterprise Limited","Agrarian Research and Training Institute Act, No. 5 of 1972
Sri Lanka Council For Agricultural Research Policy Act, No. 47 of 1987
State Agricultural Corporation Act, No. 11 of 1972
Control of Pesticides Act, No. 33 of 1980
Plant Protection Act, No. 35 of 1999
Regulation of Fertilizer Act, No. 68 of 1988
National Hunger Eradication Campaign Board of Sri Lanka Act No. 18 of 1973
Animal Diseases Act, No. 59 of 1992
Animal Feed Act, No. 15 of 1986
Animal Act, No. 29 of 1958
Veterinary Surgeons and Practitioners Act, No. 46 of 1956
All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister"
MINISTER_OF_AGRICULTURE_CONTD.,2,4. Food production in such a way has to ensure food security,,
MINISTER_OF_AGRICULTURE_CONTD.,3,"5. Maintenance of stocks and implementation of supply activities, harnessing new technology",,
MINISTER_OF_AGRICULTURE_CONTD.,4,6. Taking necessary measures to enhance agricultural production based on crops diversification,,
MINISTER_OF_AGRICULTURE_CONTD.,5,7. Formulation of strategies to guarantee to the consumer community the quality of local agricultural products,,
MINISTER_OF_AGRICULTURE_CONTD.,6,"8. Direct to traditional farmers, youth and students towards agricultural education opportunities with modern technology",,
MINISTER_OF_AGRICULTURE_CONTD.,7,9. Encourage the development of young agricultural entrepreneurs,,
MINISTER_OF_AGRICULTURE_CONTD.,8,10. Regulate specific standards of chemical pesticides and other chemical compounds,,
MINISTER_OF_AGRICULTURE_CONTD.,9,"11. Expanding the farmers' pension schemes and, crop insurance schemes for the people who are doing agricultural activities",,
MINISTER_OF_AGRICULTURE_CONTD.,10,"12. Strengthening the supply chain existing among direct producers, export companies, packaging firms and wholesalers.",,
MINISTER_OF_AGRICULTURE_CONTD.,11,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_AGRICULTURE_CONTD.,12,13. Minimizing natural disasters by communicating information related to climatic changes and daily weather reports to farmers,,
MINISTER_OF_AGRICULTURE_CONTD.,13,14. Implementing methodologies to provide farmers with quality seeds and plants,,
MINISTER_OF_AGRICULTURE_CONTD.,14,15. Water management and management of water supply according to farmer requirements,,
MINISTER_OF_AGRICULTURE_CONTD.,15,"16. Popularizing agricultural development zones, agricultural villages and sustainable home gardening",,
MINISTER_OF_AGRICULTURE_CONTD.,16,17. Administration and personnel management of Sri Lanka Agricultural Service,,
MINISTER_OF_AGRICULTURE_CONTD.,17,18. Implementation of programmes for promoting and uplifting small scale agriculture business and organizations,,
MINISTER_OF_AGRICULTURE_CONTD.,18,19. Expanding and encouraging programmes for the gradual orientation towards use of organic fertilizer and toxin free food production,,
MINISTER_OF_AGRICULTURE_CONTD.,19,20. Efficient implementation of quality fertilizer import and distribution within the government subsidy policy.,,
MINISTER_OF_AGRICULTURE_CONTD.,20,21. Formulating methodologies for the timely distribution of standardized chemical fertilizer and environmental friendly organic fertilizer,,
MINISTER_OF_AGRICULTURE_CONTD.,21,22. Encouraging production of organic fertilizer using local raw materials according to international standards,,
MINISTER_OF_AGRICULTURE_CONTD.,22,23. Implementation of a fair pricing policy and crop diversification programme that is acceptable to the local farmer and consumer,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_AGRICULTURE_CONTD.,23,24. Implementation of home garden programmes,,
MINISTER_OF_AGRICULTURE_CONTD.,24,25. Implementation of a systematic mechanism for storage of surplus production,,
MINISTER_OF_AGRICULTURE_CONTD.,25,26. Implementation of a programme for export of value added agro products,,
MINISTER_OF_AGRICULTURE_CONTD.,26,27. Introducing a domestic seed policy for production of quality seed to international standards,,
MINISTER_OF_AGRICULTURE_CONTD.,27,28. Encouraging the private sector to produce quality seeds and planting materials,,
MINISTER_OF_AGRICULTURE_CONTD.,28,29. Developing government farms and seed production farms,,
MINISTER_OF_AGRICULTURE_CONTD.,29,30. Minimize food imports by maximizing local production,,
MINISTER_OF_AGRICULTURE_CONTD.,30,31. Provision of necessary facilities to enhance production in the livestock sector,,
MINISTER_OF_AGRICULTURE_CONTD.,31,32. Animal welfare and related activities,,
MINISTER_OF_AGRICULTURE_CONTD.,32,33. Implementation of necessary steps to expand livestock related research by using modern technology leading to qualitative and quantitative increase in production.,,
MINISTER_OF_AGRICULTURE_CONTD.,33,34. Popularization of scientific breeding methods for the improvement of animal population in the livestock sector and activities related to protection and quarantine of such animals against diseases,,
MINISTER_OF_AGRICULTURE_CONTD.,34,Duties & Functions,,
MINISTER_OF_AGRICULTURE_CONTD.,35,35. Encouraging the development of small and medium scale farms to suit different geographical regions,,
MINISTER_OF_AGRICULTURE_CONTD.,36,36. Promotion and export of livestock related products,,
MINISTER_OF_AGRICULTURE_CONTD.,37,37. Providing required land and investment facilities to construct medium and large scale cattle farms,,
