Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_EDUCATION_CONTINUED,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_EDUCATION_CONTINUED,2,5. Creation of a National Education System that will enable Sri Lankan children and youth to access global challenges with self-confidence and success.,16. Vocational Training Authority of Sri Lanka,"<br/>Assisted Schools and Training Colleges Act, No. 5 of 1960<br/>National Education Commission Act, No. 19 of 1991<br/>National Institute of Education Act, No. 28 of 1985<br/>Pirivena Education Act, No. 64 of 1979<br/>University of Vocational Technology Act, No. 31 of 2008<br/>Ocean University of Sri Lanka Act, No. 31 of 2014<br/>National Institute Of Business Management Law, No. 23 of 1976<br/>Vocational Training Authority of Sri Lanka Act, No. 12 of 1995<br/>Ceylon German Technical Training<br/>Institute. Act, No. 15 of 2017<br/>National Innovation Agency Act, No. 22 of 2019<br/>Science and Technology Development Act, No. 11 of 1994<br/>Sri Lanka National Research Council Act, No. 11 of 2016<br/>Sri Lanka Inventors Incentives Act, No. 53 of 1979<br/>National Institute of Technical Education of Sri Lanka Act, No. 59 of 1998<br/>State Industries Corporations Act, No. 49 of 1957"
MINISTER_OF_EDUCATION_CONTINUED,3,6. Provision of policy guidance for the preparation of a clear road map from pre-school education to the completion of higher education,18. Ceylon German Technical Training Institute,
MINISTER_OF_EDUCATION_CONTINUED,4,7. Ensuring the right of every child to access education,19. Department of Technical Education and Training,
MINISTER_OF_EDUCATION_CONTINUED,5,8. Popularize extracurricular activities in schools,20. National Institute of Fundamental Studies,
MINISTER_OF_EDUCATION_CONTINUED,6,9. Provision of physical and human resources needed for National Schools,21. Sri Lanka Inventors' Commission,
MINISTER_OF_EDUCATION_CONTINUED,7,10. Regulation of international and private schools in conformity with the national education policy,22. National Engineering Research And Development Centre,
MINISTER_OF_EDUCATION_CONTINUED,8,"11. Take policy measures for proper maintenance of quality of education, student discipline and morals.",23. National Research Council,
MINISTER_OF_EDUCATION_CONTINUED,9,12. Adoption of measures to ensure education opportunities for students with special needs,24. Tertiary and Vocational Education Commission,
MINISTER_OF_EDUCATION_CONTINUED,10,13. Take necessary actions to promote national language and link language education,25. National Science Foundation,
MINISTER_OF_EDUCATION_CONTINUED,11,14. Promotion of Buddhist and Pali Studies and upliftment of Piriven education to meet the objectives of religious education,26. Planetarium of Sri Lanka,
MINISTER_OF_EDUCATION_CONTINUED,12,"15. Human resources management and administration of the Sri Lanka Education Administrative Service, Principal Service,",28. National Innovation Agency,
MINISTER_OF_EDUCATION_CONTINUED,13,Duties & Functions,29. Skills Development Fund Ltd.,
MINISTER_OF_EDUCATION_CONTINUED,14,Administration of School Development Boards,30. Sri Lanka Inventors Fund,
MINISTER_OF_EDUCATION_CONTINUED,15,Promotion and Development of school libraries,31. National Science and Technology Commission,Laws and Ordinance to be Implemented
MINISTER_OF_EDUCATION_CONTINUED,16,"Implementation and direction of programmes for the provision of school text books, uniforms, other student necessities and facilities.",32. Sri Lanka Institute of Nanotechnology (Pvt.) Ltd.,"<br/>Tertiary and Vocational Education Act, No. 20 of 1990<br/>Institute of Fundamental Studies, Sri Lanka Act, No. 55 of 1981<br/>Universities Act, No. 16 of 1978<br/>Buddhasravaka Bhikku University Act, No. 26 of 1996<br/>Buddhist And Pali University of Sri Lanka Act, No. 74 of 1981<br/>Sri Lanka Institute of Advanced Technological Education Act, No. 29 of 1995<br/>All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister."
MINISTER_OF_EDUCATION_CONTINUED,17,"Development of all physical facilities including sanitary facilities, student-friendly classrooms, teachers' residential and restroom facilities in all schools.",33. Sri Lanka Institute of Biotechnology (Pvt.) Ltd.,
MINISTER_OF_EDUCATION_CONTINUED,18,Development and promotion of the use of modern technological facilities for learning and teaching,34. Vidatha Centres,
MINISTER_OF_EDUCATION_CONTINUED,19,Formulation and implementation of strategies to enhance the trend towards vocational education,35. University Grants Commission,
MINISTER_OF_EDUCATION_CONTINUED,20,Creation of opportunities to acquire vocational education disregarding educational qualifications,"Departments, Statutory Institutions & Public Corporations",
MINISTER_OF_EDUCATION_CONTINUED,21,Modernization of industrial and technical education for the purpose of creating a workforce suitable for the local and foreign employment market,,
MINISTER_OF_EDUCATION_CONTINUED,22,"Modernize curricula, network all such institutions under ""One TVET"" concept and transform them into Technology Degree Awarding institutions.",37. Buddhasravaka Bhikku University,
MINISTER_OF_EDUCATION_CONTINUED,23,25. Formulation of policies and provision of facilities to enable students who do not qualify to enter university education after leaving school to broaden their opportunities for vocational education.,38. Buddhist and Pali University of Sri Lanka,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_EDUCATION_CONTINUED,24,26. Promotion of apprenticeship training opportunities.,39. Sri Lanka Institute of Advanced Technological Education,
MINISTER_OF_EDUCATION_CONTINUED,25,27. Increase the National Vocational Qualification level from current 7 to 10 and amend the Sri Lanka Qualification Framework accordingly.,,
MINISTER_OF_EDUCATION_CONTINUED,26,"28. Amend vocational training curricula to incorporate subjects such as Entrepreneurship, Information Technology, English and other languages into vocational education courses.",,
MINISTER_OF_EDUCATION_CONTINUED,27,29. Expand vocational training opportunities through the use of mobile technical education services.,,
MINISTER_OF_EDUCATION_CONTINUED,28,30. Take necessary measures to provide vocational education targeting local and foreign job markets.,,
MINISTER_OF_EDUCATION_CONTINUED,29,31. Commence City Universities as higher education institutions granting degrees compatible with job opportunities.,,
MINISTER_OF_EDUCATION_CONTINUED,30,32. Facilitate research institutions to collaborate with international research institutions,,
MINISTER_OF_EDUCATION_CONTINUED,31,33. Formulate an efficient mechanism to utilize innovations and outcomes of research,,
MINISTER_OF_EDUCATION_CONTINUED,32,34. Take steps to establish the National Innovation Agency,,Laws and Ordinance to be Implemented
MINISTER_OF_EDUCATION_CONTINUED,33,"35. Take steps to expand scientific, industrial, social and economic research and development activities",,"• National Highways Act, No. 40 of 2008
• Road Development Authority Act, No. 73 of 1981
• National Highways Act, No. 40 of 2008
• National Transport Commission Act, No. 37 of 1991
• Railways Act, No. 18 of 1950
• Sri Lanka Transport Board Act, No. 27 of 2005
• National Transport Medical Institute Act, No. 25 of 1997
• Motor Traffic Act, No. 14 of 1951
• All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister."
MINISTER_OF_EDUCATION_CONTINUED,34,36. Motivate and direct communities towards innovation.,,
MINISTER_OF_EDUCATION_CONTINUED,35,37. Management and development of State Universities under the administration of the University Grants Commission,,
MINISTER_OF_EDUCATION_CONTINUED,36,38. Affiliation and promotion of cooperation with international academic institutions and other organizations with the objective of improving the quality of higher education in Sri Lanka,,
MINISTER_OF_EDUCATION_CONTINUED,37,39. Identification and adoption of appropriate criteria in broadening avenues for higher education,,
MINISTER_OF_EDUCATION_CONTINUED,38,40. Revise curricula within overall Education Reforms Policy to create graduates targeting domestic and foreign job markets.,,
MINISTER_OF_EDUCATION_CONTINUED,39,41. Facilitating and encouraging research and innovation in university education,"Departments, Statutory Institutions & Public Corporations",
MINISTER_OF_EDUCATION_CONTINUED,40,42. Taking measures to establish Smart Learning Universities,"1. Road Development Authority and its subsidiaries and affiliates
2. Sahasya Investment Ltd.
3. Maga Neguma
4. State Development and Construction Corporation
5. National Transport Commission
6. National Council for Road Safety
7. Department of Sri Lanka Railways
8. Lakdiva Engineering Ltd
9. Sri Lanka Transport Board
10. National Transport Medical Institute
11. Department of Motor Traffic",
MINISTER_OF_EDUCATION_CONTINUED,41,43. Taking steps to upgrade all state universities to a high position in world rankings,,
