Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_ENVIRONMENT_CONTD.,1,Duties & Functions,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_ENVIRONMENT_CONTD.,2,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
MINISTER_OF_ENVIRONMENT_CONTD.,3,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
MINISTER_OF_ENVIRONMENT_CONTD.,4,4. Formulation of policies and plans for environmental conservation and management,,
MINISTER_OF_ENVIRONMENT_CONTD.,5,5. Taking necessary steps to develop national and international cooperation for the protection of the environment for present and future generations.,,
MINISTER_OF_ENVIRONMENT_CONTD.,6,6. Formulation and implementation of programmes to combat environmental pollution,,
MINISTER_OF_ENVIRONMENT_CONTD.,7,7. Formulation of policies and laws and implementation of strategies to create sustainable development with an economy that has least environmental changes and carbon use.,,
MINISTER_OF_ENVIRONMENT_CONTD.,8,8. Creation of a positive attitude among the people on the importance of the sustainable environment concept,,
MINISTER_OF_ENVIRONMENT_CONTD.,9,9. Issuance of environmental feasibility licenses and reviewing the process,,
MINISTER_OF_ENVIRONMENT_CONTD.,10,10. Matters relating to all other subjects assigned to Institutions listed in Column II,,
MINISTER_OF_ENVIRONMENT_CONTD.,11,11. Supervision of all the Institutions listed in Column II,,
MINISTER_OF_ENVIRONMENT_CONTD.,12,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_ENVIRONMENT_CONTD.,13,Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
MINISTER_OF_ENVIRONMENT_CONTD.,14,"Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
MINISTER_OF_ENVIRONMENT_CONTD.,15,Taking necessary measures to incentivize sports activities in Sri Lanka.,,
MINISTER_OF_ENVIRONMENT_CONTD.,16,Promotion of infrastructure and facilitation required to achieve anticipated objectives in the sports field.,,
MINISTER_OF_ENVIRONMENT_CONTD.,17,"Promotion of sports education, training and research",,
MINISTER_OF_ENVIRONMENT_CONTD.,18,Formulation of new strategies and implementation of programmes to harness the potential of sports in building the image of Sri Lanka internationally,,
MINISTER_OF_ENVIRONMENT_CONTD.,19,Expansion of opportunities for athletes to participate in international competitions,,
