Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,2,12. Ensuring the execution of the national budget and enforcing budgetary and financial controls,Insurance Regulatory Commission of Sri Lanka,"<br/>Stamp Duty (Special Provisions) Act, No. 12 of 2006<br/>Stamp Duty (Special Provisions) Act, No. 10 of 2008<br/>Stamps Duty Act, No. 43 of 1982<br/>Value Added Tax Act, No. 14 of 2002<br/>Welfare Benefits Act, No. 24 of 2002<br/>Finance Act, No. 38 of 1971<br/>Environment Conservation Levy Act, No. 26 of 2008<br/>Tax Appeals Commission Act, No. 23 of 2008<br/>Public Utilities Commission of Sri Lanka Act No. 35 of 2002<br/>Institute of Policy Studies of Sri Lanka Act No. 53 of 1988<br/>Sustainable Development Act No. 19 of 2017<br/>Development Lotteries Board Act, No. 20 of 1997<br/>Sri Lanka Export Credit Insurance Act, No. 15 of 1978<br/>Inland Revenue Act, No. 24 of 2017<br/>Monetary Law Act No. 58 of 1949<br/>National Savings Bank Act, No. 30 of 1971<br/>People's Bank Act, No. 29 of 1961"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,3,13. Management of national tax policies and effective use of Government revenue,Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,4,14. Coordination of public and private sector activities for economic development,Credit Information Bureau,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,5,15. Coordination with international agencies and mobilization of foreign resources for economic development,Department of the Registrar of Companies,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,6,16. Liaising with donor agencies and international financial institutions,Securities and Exchange Commission of Sri Lanka,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,7,17. Enforcement of Government Financial Regulations,Sri Lanka Accounting and Auditing Standard Monitoring Board,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,8,18. Management of the Consolidated Fund,Public Utilities Commission of Sri Lanka,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,9,19. Overall supervision of revenue agencies,Tax Appeals Commission,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,10,20. Provision of direction and guidance to State Banks and Financial Agencies,Housing Development Finance Corporation,
