Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_FISHERIES_CONTD.,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FISHERIES_CONTD.,2,9. Providing opportunities for domestic companies to expand fishing in international seas,,
MINISTER_OF_FISHERIES_CONTD.,3,10. Halt unauthorized fishing in Sri Lankan waters,,
MINISTER_OF_FISHERIES_CONTD.,4,11. Take action to expand domestic canned fish industry.,,
MINISTER_OF_FISHERIES_CONTD.,5,12. Encourage small and medium scale entrepreneurs to promote entrepreneurship in fisheries industry,,
MINISTER_OF_FISHERIES_CONTD.,6,13. Promotion of ornamental fishery targeting export markets,,
MINISTER_OF_FISHERIES_CONTD.,7,14. Expansion of welfare activities and introduction of productive banking and insurance schemes for the fishing community,,
MINISTER_OF_FISHERIES_CONTD.,8,15. Conduct technical and management training programmes in fishery in collaboration with the Ocean University,,
MINISTER_OF_FISHERIES_CONTD.,9,"16. Development and management of marine, brackish (lagoon) water and freshwater fisheries industry",,
MINISTER_OF_FISHERIES_CONTD.,10,17. Develop refrigeration systems using sea water for multi-day fishing vessels and encourage the use of solar energy,,
MINISTER_OF_FISHERIES_CONTD.,11,"18. Establishment, maintenance and management of fishery harbours and anchorages",,
MINISTER_OF_FISHERIES_CONTD.,12,"19. Development and maintenance of ice plants, cold rooms and other infrastructure facilities required for the fishery industry",,
MINISTER_OF_FISHERIES_CONTD.,13,20. Sale and distribution of fish and fish-based products,,
MINISTER_OF_FISHERIES_CONTD.,14,Duties & Functions,,
MINISTER_OF_FISHERIES_CONTD.,15,21. Matters relating to all other subjects assigned to Institutions listed in Column II,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FISHERIES_CONTD.,16,22. Supervision of all Institutions listed in Column II,,
MINISTER_OF_FISHERIES_CONTD.,17,,,
