Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,2,"5. Adoption of necessary measures to widen international cooperation in accordance with national policies, coordination and provision of necessary advice to the government.",,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,3,6. Responding appropriately to counteract adverse propaganda affecting the good image of Sri Lanka and stabilize the image of Sri Lanka,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,4,"7. Active engagement with international and regional associations of political, economic, environmental, social and cultural cooperation",,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,5,"8. Maintenance of diplomatic relations with foreign countries, and conduct negotiations in relation to treaties, agreements and conventions",,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,6,9. Provision of diplomatic immunities and privileges,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,7,"10. Provision of necessary assistance to relevant Ministries and Institutions for the promotion of external trade, investment, tourism, employment and external financial relations",,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,8,11. Consolidating foreign relations required for the protection of territorial integrity and maritime rights of Sri Lanka,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,9,12. Adoption of necessary measures related to the welfare of Sri Lankan residents in foreign countries,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,10,13. Provision of consular services,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,11,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,12,14. Administration of personnel in Sri Lanka Foreign Service and those attached to overseas diplomatic missions and take measures to enhance their professional skills.,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,13,15. Studying geo-political trends and advising the government on strategies to be adopted in the management of such trends in a manner beneficial to the interest of Sri Lanka,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,14,16. Supervising all Institutions referred to in Column II and matters relating to all subjects assigned to such Institutions,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,15,17. Supervision of all Institutions listed in Column II,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,16,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,17,"Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.","J.R. Jayewardene Centre
Department of Public Trustee
Central Cultural Fund
Buddha Sasana Fund
Buddhist Renaissance Fund
Department of Cultural Affairs
Department of Archaeology
Tower Hall Theatre Foundation
National Arts Council
Gramodaya Folk Arts Centre
Galle Heritage Foundation
Mahinda Rajapaksa National Tele Cinema Park
National Performing Arts Theatre (Nelum Pokuna)
""Ape Gama""","• National Archives Act No. 48 of 1973
• Central Cultural Fund Act No. 57 of 1980
• Public Trustee Ordinance, No. 1 of 1922
• Cultural Properties Act No. 73 of 1988
• Arts Council of Ceylon Act No. 18 of 1952
• Antiquities Ordinance No. 9 of 1940
• Tower Hall Theatre Foundation Act No. 01 of 1978
• Sigiri Heritage Foundation Act No. 62 of 1998
• Galle Heritage Foundation Act, No. 7 of 1994
• All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister."
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,18,Assure the right to practice all religions including Buddhism,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,19,Protect all rights granted to all religions and take action against religious extremism,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,20,Provision of facilities to promote Dhamma School education,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,21,Conservation and Development of sacred areas,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,22,Implementation and monitoring of programmes in relation to Buddhist religious and cultural affairs,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,23,Implementation and monitoring of programmes in relation to Hindu religious and cultural affairs,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,24,Implementation and monitoring of programmes in relation to Christian religious and cultural affairs,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,25,Implementation and monitoring of programmes in relation to Muslim religious and cultural affairs,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,26,Development of places of religious worship in remote areas.,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,27,Creation of a digital archaeological encyclopedia for all religions,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,28,Duties & Functions,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,29,14. Systematic management and preservation of state records,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,30,"15. Administration of the Central Cultural Fund, and taking action to conduct a study for its restructuring",,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,31,16. Adoption of necessary measures for the advancement of all aspects in the national culture of Sri Lanka,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,32,17. Maintenance of cultural relations with foreign countries,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,33,18. Extending necessary cooperation for tourism promotion programmes that showcase the pride of cultural and national heritage in a manner that protects cultural and archeological heritages.,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,34,19. Identifying trends in the employment of cultural contribution in building inter-ethnic cooperation and taking necessary measures to implement them,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,35,"20. Adoption of necessary measures for the conservation of historical, archeological and cultural heritages",,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,36,21. Adoption of necessary measures for the promotion of modern and traditional cultural creations and to incentivize artistes,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,37,"22. Identification and implementation of measures for the advancement of Drama, Music and Dancing",,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,38,23. Introduction of a mechanism for payment of royalties in line with international conventions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,39,Duties & Functions,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,40,All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_FOREIGN AFFAIRS_CONTINUED,41,Supervision of all Institutions listed in Column II,,
