Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_HEALTH_CONTINUED,1,Duties & Functions,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_HEALTH_CONTINUED,2,Administration and Personnel Management of Sri Lanka Medical Service and other health services,,
MINISTER_OF_HEALTH_CONTINUED,3,Expansion of training opportunities required for the enhancement of quality and skills of medical and para-medical services,,
MINISTER_OF_HEALTH_CONTINUED,4,Implementation of school health services and dental medical services for children,,
MINISTER_OF_HEALTH_CONTINUED,5,General sanitation and railway services sanitation,,
MINISTER_OF_HEALTH_CONTINUED,6,Matters relating to healthcare in the estate sector,,
MINISTER_OF_HEALTH_CONTINUED,7,Matters relating to National Blood Transfusion Services,,
MINISTER_OF_HEALTH_CONTINUED,8,Implementing programmes for the provision and distribution of Thriposha and nutritious food particularly for lactating mothers,,
MINISTER_OF_HEALTH_CONTINUED,9,Operation of the 1990 Suwaseriya Ambulance Service in an efficient manner.,,
MINISTER_OF_HEALTH_CONTINUED,10,"Production, import and distribution of drugs with a high standard and in an efficient manner.",,
MINISTER_OF_HEALTH_CONTINUED,11,Manufacture and import of quality drugs,,
MINISTER_OF_HEALTH_CONTINUED,12,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_HEALTH_CONTINUED,13,23. Prevention of market monopolies and control of drug prices to protect consumers,,
MINISTER_OF_HEALTH_CONTINUED,14,24. Ensuring that drug imports take place within a transparent procurement process,,
MINISTER_OF_HEALTH_CONTINUED,15,25. Taking steps to preserve and improve traditional medicine,,
MINISTER_OF_HEALTH_CONTINUED,16,"26. Development and regulation of Ayurvedic, Siddha, Unani and Homeopathy systems of medicine",,
MINISTER_OF_HEALTH_CONTINUED,17,"27. Production of Ayurvedic, Siddha, Unani and Homeopathy medicinal drugs",,
MINISTER_OF_HEALTH_CONTINUED,18,"28. Import, sale and distribution of raw material and manufactured drugs required for Ayurvedic, Siddha, Unani and Homeopathy systems of medicine",,
MINISTER_OF_HEALTH_CONTINUED,19,"29. Establishment and management of hospitals, research and training institutes and pharmaceutical outlets for the improvement of indigenous systems of medicines such as, Ayurveda, Siddha, Unani",,
MINISTER_OF_HEALTH_CONTINUED,20,"30. Regulation of export of medicinal plants and manufactured Ayurvedic, Siddha and Unani drugs",,
MINISTER_OF_HEALTH_CONTINUED,21,31. Regulation of Ayurvedic drug manufacturers,,
MINISTER_OF_HEALTH_CONTINUED,22,Duties & Functions,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_HEALTH_CONTINUED,23,32. Launch of projects in coordination with relevant institutions in relation to promotion of medicinal plant cultivation and improvement of local medicinal drugs,,
MINISTER_OF_HEALTH_CONTINUED,24,"33. Registration of Ayurvedic product manufacturers, Ayurvedic practitioners and Ayurvedic para-medical personnel",,
MINISTER_OF_HEALTH_CONTINUED,25,"34. Establishment, operation and promotion of Ayurvedic Hospitals, Ayurvedic Research Institutes, Training Institutes and Pharmacies",,
MINISTER_OF_HEALTH_CONTINUED,26,35. Implementing a mechanism in coordination with and regulated by the Tourist Board to prioritize indigenous traditional and ayurvedic treatment methods for administering treatment to tourists,,
MINISTER_OF_HEALTH_CONTINUED,27,36. Encouraging research regarding drugs and treatment methods in relation to indigenous medicine,,
MINISTER_OF_HEALTH_CONTINUED,28,37. Administration and personnel management of Indigenous Medical Service,,
MINISTER_OF_HEALTH_CONTINUED,29,All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_HEALTH_CONTINUED,30,Supervision of all Institutions listed in Column II,,
MINISTER_OF_HEALTH_CONTINUED,31,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_HEALTH_CONTINUED,32,"1. Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subject of water supply, and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","1. National Water Supply and Drainage Board
2. Water Resources Board
3. Department of National Community Water Supply","
National Water Supply and Drainage Board Law, No. 2 of 1974
Water Resources Board Act, No. 29 of 1964
All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister."
MINISTER_OF_HEALTH_CONTINUED,33,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
MINISTER_OF_HEALTH_CONTINUED,34,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
MINISTER_OF_HEALTH_CONTINUED,35,4. Taking necessary measures to provide clean drinking water to all citizens.,,
MINISTER_OF_HEALTH_CONTINUED,36,"5. Inspect water supply services, drainage systems and sanitary facilities, formulate and implement new plans for them and maintain.",,
MINISTER_OF_HEALTH_CONTINUED,37,6. Improvement of water security and urban water supply schemes by coordinating rural tanks and reservoirs and irrigation systems.,,
MINISTER_OF_HEALTH_CONTINUED,38,7. Prevention of wastage of water in drinking water distribution,,
MINISTER_OF_HEALTH_CONTINUED,39,8. Taking measures to carry out community water supply projects in an efficient and proper manner,,
