Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_INDUSTRIES_CONTD.,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_INDUSTRIES_CONTD.,2,"13. Prioritizing and encouraging the promotion of rural industries including rattan, brass, pottery, furniture as value addition industries.",,
MINISTER_OF_INDUSTRIES_CONTD.,3,"14. Providing opportunities and incentives for the cultivation of raw materials in state lands on a long term lease basis under a cooperative system as a remedial measure to resolve problems of raw materials in relation to carpentry, rattan industry and reed industry",,
MINISTER_OF_INDUSTRIES_CONTD.,4,15. Providing remedies to problems of raw material supplies faced by timber and furniture producers,,
MINISTER_OF_INDUSTRIES_CONTD.,5,16. Resolving problems of raw material supplies and market access for traditional industries such as foundry industry,,
MINISTER_OF_INDUSTRIES_CONTD.,6,"17. Expanding the production and supply of garments in the local market in Sri Lanka, and developing the tourism market for local garments",,
MINISTER_OF_INDUSTRIES_CONTD.,7,18. Formulating a programme for the supply of dyes and other high quality raw material required for the Batik industry.,,
MINISTER_OF_INDUSTRIES_CONTD.,8,19. Implementing a special programme for popularizing Batik and Handloom industry locally and abroad,,
MINISTER_OF_INDUSTRIES_CONTD.,9,20. Taking measures for the creation of a textile marketing cities,,
MINISTER_OF_INDUSTRIES_CONTD.,10,21. Taking measures to operate textile production market in an open and competitive manner,,
MINISTER_OF_INDUSTRIES_CONTD.,11,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_INDUSTRIES_CONTD.,12,Promotion and regulation of the gem and jewelery industry and trade,,
MINISTER_OF_INDUSTRIES_CONTD.,13,Modernizing gem and mineral resources based industries through a competitive creative approach with the private sector,,
MINISTER_OF_INDUSTRIES_CONTD.,14,"Restricting the export of gems without value addition, and instead promote the export of value added gem based products",,
MINISTER_OF_INDUSTRIES_CONTD.,15,Provide training opportunities for obtaining latest technical know-how for those involved in the gem related industry and those interested in the industry.,,
MINISTER_OF_INDUSTRIES_CONTD.,16,Taking steps to simplify the licensing process required for the gem industry,,
MINISTER_OF_INDUSTRIES_CONTD.,17,Matters relating to all other subjects assigned to Institutions listed in Column II,,
MINISTER_OF_INDUSTRIES_CONTD.,18,Supervision of the Institutions listed in Column II,,
