Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,2,9. Establishment of Technology Parks,,
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,3,10. Matters relating to expansion of digital technology ventures.,,
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,4,11. All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,5,12. Supervision of all Institutions listed in Column II,,
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,6,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,7,4. Review and simplify existing rules and regulations pertaining to the public service,11. Local Government Widowers' and Orphans' Pension Fund,"• Local Government Service Act, No. 16 of 1974"
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,8,5. Introducing an arbitration process for resolving public service disputes,12. All District Secretariats and Divisional Secretariets,"• Government and Judicial Service Officers Pension Ordinance, No. 11 of 1910"
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,9,6. Administration and personnel management relating to the following services:,13. Department of Registrar General,• Military Pensions and Gratuities Minute
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,10,Sri Lanka Administrative Service,14. Sri Lanka Institute of Local Government,• Air Force Pensions and Gratuities Minute
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,11,Sri Lanka Accountants' Service,,• Navy Pensions and Gratuities Minute
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,12,Sri Lanka Planning Service,,"• Compulsory Public Service Act, No. 70 of 1961"
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,13,Sri Lanka Engineering Service,,"• Sri Lanka Institute of Development Administration Act, No. 9 of 1982"
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,14,Sri Lanka Scientific Service,,"• Government Quarters (Recovery of Possession) Act, No. 7 of 1969"
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,15,Sri Lanka Architectural Service,,"• Prize Competitions Act, No. 37 of 1957"
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,16,Sri Lanka Technological Service,,"• Official Languages Act, No. 33 of 1956"
MINISTER_OF_INVESTMENT_PROMOTION_CONTINUED,17,7. Administration of the Combined Services,,"• Official Languages Commission Act, No. 18 of 1991"
