Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_IRRIGATION_CONTD.,1,Duties & Functions,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_IRRIGATION_CONTD.,2,Control flood and drainage through flood control schemes,,
MINISTER_OF_IRRIGATION_CONTD.,3,Proper management of reservoirs and irrigation facilities required for electricity supply and drinking water whilst giving priority for agricultural development in principle.,,
MINISTER_OF_IRRIGATION_CONTD.,4,Determine catchment areas and river basins and take necessary measures for their sustainable conservation and development,,
MINISTER_OF_IRRIGATION_CONTD.,5,"Prevention of environmental pollution in water sources such as rivers, canals and tanks",,
MINISTER_OF_IRRIGATION_CONTD.,6,Developing strategies for controlling water pollution and protection of water quality,,
MINISTER_OF_IRRIGATION_CONTD.,7,Implementation of irrigation development programmes,,
MINISTER_OF_IRRIGATION_CONTD.,8,Formulation of dam safety measures,,
MINISTER_OF_IRRIGATION_CONTD.,9,Implementation of sea water elimination schemes,,
MINISTER_OF_IRRIGATION_CONTD.,10,Formulation of programmes and projects for the conservation of underground water resources and rain water conservation,,
MINISTER_OF_IRRIGATION_CONTD.,11,Implementation of development programmes in Mahaweli zones and land related activities,,
MINISTER_OF_IRRIGATION_CONTD.,12,All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_IRRIGATION_CONTD.,13,Supervision of all Institutions listed in Column II,,
MINISTER_OF_IRRIGATION_CONTD.,14,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_IRRIGATION_CONTD.,15,"1. Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subjects of Labour and Foreign employment, and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","1. Department of Labour
2. National Institute of Labour Studies
3. National Institute for Occupational Safety and Health
4. Office of the Commissioner of Workmen's Compensation
5. National Productivity Secretariat
6. Shrama Vasana Fund
7. Department of Manpower and Employment
8. Sri Lanka Foreign Employment Bureau
9. Foreign Employment Agency of Sri Lanka (Pvt.) Ltd.","• Employees' Councils Act, No. 32 of 1979
• Employees' Provident Fund Act, No. 15 of 1958
• Employment of Women, Young Persons, and Children Act, No. 47 of 1956
• Factories Ordinance No. 45 of 1942
• Industrial Disputes Act, No. 43 of 1950
• Maternity Benefits Ordinance No. 32 of 1939
• National Institute of Occupational Safety and Health Act, No. 38 of 2009
• Payment of Gratuity Act No. 12 of 1983
• Shop and Office Employees (Regulation of Employment and Remuneration) Act No. 19 of 1954
• Termination of Employment of Workmen (Special Provisions) Act, No. 45 of 1971
• Trade Union Ordinance No. 14 of 1935
• Wages Boards Ordinance No. 27 of 1941
• Compensation Ordinance No. 19 of 1934
• ShramaVasana Fund Act No. 12 of 1998
• Sri Lanka Bureau of Foreign Employment Act, No. 21 of 1985
• Fee-Charging Employment Agencies Act No. 37of 1956
• All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister."
MINISTER_OF_IRRIGATION_CONTD.,16,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
MINISTER_OF_IRRIGATION_CONTD.,17,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
MINISTER_OF_IRRIGATION_CONTD.,18,"4. Formulation and implementation of policies for labour relations standards, employee administration, welfare and health in line with international standards.",,
MINISTER_OF_IRRIGATION_CONTD.,19,5. Maintain cooperation with International Labour Organization and International Social Security Association,,
MINISTER_OF_IRRIGATION_CONTD.,20,"6. Administration and regulation of Employees' Provident Fund, Private Provident Fund and Private pension schemes",,
MINISTER_OF_IRRIGATION_CONTD.,21,7. Industrial relations and arbitration of industrial disputes,,
