Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations","<br/>Judges Institute of Sri Lanka Act, No. 46 of 1985<br/>Law Commission Act, No. 3 of 1969<br/>Legal Aid Law, No. 11 of 1978<br/>Mediation Boards Act, No. 72 of 1988<br/>Prevention of Frauds Ordinance, No. 7 of 1840<br/>Prevention of Social Disability Act, No. 21 of 1957<br/>Primary Courts' Procedure Act, No. 44 of 1979<br/>The Crown (Liability in Delicts) Act, No. 22 of 1969<br/>Prevention of Crimes Ordinance, No. 2 of 1926<br/>Quazi Courts (validation of appointment) Act<br/>Assistance to and Protection of Victims of Crime and Witnesses Act, No. 4 of 2015<br/>Commercial Mediation Centre of Sri Lanka Act, No. 44 of 2000<br/>Office of the Missing Persons (Establishment, Administration and Discharge of functions) Act, No.14 of 2016<br/>Office for Reparations Act No. 34 of 2018<br/>Prisons Ordinance, No. 16 of 1877<br/>Youthful Offenders (Training Schools) Ordinance, No. 28 of 1939<br/>Community Based Corrections Act, No. 46 of 1999"
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,2,Matters relating to the administration of the courts of justice which have not been assigned to any other party by the Constitution,,<br/>Office for National Unity and Reconciliation<br/>Office for Reparations<br/>National Authority for the Protection of Victims of Crime and Witnesses<br/>Department of Prisons<br/>Community Based Correction Department<br/>Training Schools for Youthful Offenders<br/>Rehabilitation Commissioner General's Office
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,3,"Conduct all activities relating to overall administration, including prevention of law's delays in the courts system, in a methodical and efficient manner, and introduce modern technology for such purpose.",,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,4,Criminal prosecutions and civil proceedings on behalf of the government,"Departments, Statutory Institutions & Public Corporations",
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,5,Provide legal advice to the government and to all government departments,"Departments, Statutory Institutions & Public Corporations",
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,6,Drafting of legislation,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,7,"Make recommendations to grant pardons, commutations, remissions, respites and suspensions in relation to sentences passed on any offender",,All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,8,Formulation and implementation of an appropriate programme to enhance the effectiveness and efficiency of the overall Quazi system,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,9,Administration of labour tribunals and other related matters,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,10,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,11,14. Empower the Mediation Boards mechanism to resolve civil disputes without resort to the courts,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,12,15. Provide the latest knowledge and technical training on law enforcement procedures and mechanisms to relevant persons,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,13,16. Conduct activities relating to the provision of assistance to and protection of victims of crime and witnesses.,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,14,17. Conduct activities relating to search of missing persons and protecting the rights of missing persons and their relatives,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,15,18. Conduct activities relating to compensation for persons affected by conflicts and crises.,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,16,19. Promotion of national integration and reconciliation and lasting peace in the country and formulation of a policy framework for the said purpose,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,17,20. Introduction and implementation of programmes for dialogue to establish solidarity and co-existence among communities,,Laws and Ordinance to be Implemented
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,18,21. Taking steps to amend the Constitution to suit the current needs while ensuring that the sovereignty of the people and national security are safeguarded.,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,19,22. Conduct activities relating to the drafting of a new Constitution,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,20,"23. Formulation and implementation of policies, plans and programmes in relation to prison reforms",,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,21,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,22,Prison administration and reforms,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,23,Develop prisons infrastructure and minimize overcrowding.,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,24,Rehabilitation of prisoners,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,25,Activities relating to community based correction projects,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,26,Implementation of programmes and projects for rehabilitation of persons physically and mentally affected by conflicts,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,27,Re-integration of persons involved in terrorist activities into the society,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,28,Matters relating to all other subjects assigned to Institutions listed in Column II,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,29,Supervision of all Institutions listed in Column II,,
