Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,1,8. Matters relating to formulation of laws and regulations relevant to labour relations and their regulation,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,2,9. Registration of trade unions and introduction and implementation of positive measures for harnessing activities of all trade unions in the public and private sectors for the country's development,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,3,10. Formulating and implementing policies and programmes for enhancing national productivity,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,4,11. Implementation of national manpower and employment policies,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,5,"12. Broadening foreign employment opportunities, promotion and adopting measures in collaboration with relevant institutions to upgrade the skills required for such employments",,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,6,13. Introducing legal and regulatory measures required to ensure the security of migrant workers,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,7,14. Providing special facilities for expatriate workers and Sri Lankans living abroad to save and invest foreign exchange in Sri Lanka,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,8,15. Implementing special projects to enable those who return to Sri Lanka after foreign employment to commence enterprises,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,9,16. Implementing programmes to ensure the protection and welfare of housemaids working in Middle East and other countries.,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,10,Duties & Functions,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,11,17. Providing remedies for employment problems of migrant workers and maintaining welfare,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,12,18. Introducing legal reforms to strengthen the process of obtaining compensation entitled to persons who meet with accidents in foreign countries,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,13,19. Regulation of foreign employment agencies,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,14,20. Regulation of levy of fees by employment agencies,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,15,21. Providing career guidance for foreign employment and adopting measures to ensure welfare of those engaged in foreign employments when they are directed to workplaces by foreign employment agencies,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,16,22. All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_LABOUR_AND_FOREIGN_EMPLOYMENT_CONTD.,17,23. Supervision of all the Institutions listed in Column II,,
