Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_MASS_MEDIA_CONTINUED,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_MASS_MEDIA_CONTINUED,2,4. Adoption of necessary measures to ensure people's right to accurate information,13. Sri Lanka Institute of Printing,"• Post Office Ordinance, No. 11 of 1908"
MINISTER_OF_MASS_MEDIA_CONTINUED,3,5. Government printing and publication activities,14. Public Performance Board,"• Sri Lanka Institute of Printing Act, No. 18 of 1984"
MINISTER_OF_MASS_MEDIA_CONTINUED,4,"6. Formulation of strategies to obtain the contribution of the mass media for economic, social and cultural development by developing the knowledge, attitudes and a high sense of appreciation of the people.",15. National Film Corporation,"• State Film Corporation Act, No. 47 of 1971
• All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister."
MINISTER_OF_MASS_MEDIA_CONTINUED,5,7. Promotion of the use of modern technology for the use of mass media,,
MINISTER_OF_MASS_MEDIA_CONTINUED,6,8. Introducing a Mass Media Policy,,
MINISTER_OF_MASS_MEDIA_CONTINUED,7,9. Taking necessary measures for the dissemination of state official announcements and news to the public,,
MINISTER_OF_MASS_MEDIA_CONTINUED,8,10. Release of relevant information on Sri Lanka to local and foreign media agencies,,
MINISTER_OF_MASS_MEDIA_CONTINUED,9,11. Provision of information and publicity material to Sri Lanka Missions abroad,,
MINISTER_OF_MASS_MEDIA_CONTINUED,10,"12. Taking appropriate measures for production and broadcasting of news, films and documentaries",,
MINISTER_OF_MASS_MEDIA_CONTINUED,11,"13. Publicity work, including commercial television, radio broadcasting and overseas transmissions",,
MINISTER_OF_MASS_MEDIA_CONTINUED,12,14. Provision of diversified business oriented modern postal service adopting state-of-the-Art technology and management methodologies to maintain,,
MINISTER_OF_MASS_MEDIA_CONTINUED,13,Duties & Functions,,
MINISTER_OF_MASS_MEDIA_CONTINUED,14,efficient domestic and foreign postal services,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_MASS_MEDIA_CONTINUED,15,15. Administration of Sri Lanka Philatelic Bureau,,
MINISTER_OF_MASS_MEDIA_CONTINUED,16,16. All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_MASS_MEDIA_CONTINUED,17,17. Supervision of all Institutions listed in Column II,,
MINISTER_OF_MASS_MEDIA_CONTINUED,18,Duties & Functions,,
MINISTER_OF_MASS_MEDIA_CONTINUED,19,4. Formulation and implementation of policies required for the maintenance of public health services at a high standard and in a people friendly manner,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_MASS_MEDIA_CONTINUED,20,5. Formulation and implementation of programmes to improve public health and nutrition,"13. Vijaya Kumaratunga Memorial Hospital
14. Ashraff Memorial Hospital
15. National Authority on Tobacco and Alcohol
16. 1990 Suwaseryia Foundation
17. National Health Development Fund
18. State Pharmaceutical Corporation
19. State Pharmaceutical Manufacturing Corporation
20. National Medicines Regulatory Authority
21. Department of Ayurveda
22. Sri Lanka Ayurvedic Drugs Corporation
23. Ayurvedic Medical Council
24. Ayurvedic College and Hospital Board
25. Ayurveda Teaching and Research Hospitals
26. Homeopathy Hospital, Welisara
27. Homeopathy Medical Council","
• Transplantation of Human Tissues Act, No. 48 of 1987
• Food Act, No. 26 of 1980
• Sri Jayewardenepura General Hospital Board Act, No. 54 of 1983
• Vijaya Kumaratunga Memorial Hospital Board Act, No. 38 of 1999
• National Authority on Tobacco and Alcohol Act, No. 27 of 2006
• 1990 Suwaseryia Foundation Act, No. 18 of 2018
• National Drugs Regulatory Authority Act, No. 5 of 2015
• Ayurveda Act, No. 31 of 1961
• Homoeopathy Act, No. 7 of 1970
• All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister."
MINISTER_OF_MASS_MEDIA_CONTINUED,21,"6. Adoption of necessary measures for the control, prevention and cure of epidemic, communicable and non-communicable diseases",,
MINISTER_OF_MASS_MEDIA_CONTINUED,22,7. Implementation of rules and regulations in relation to international quarantine and sanitation,,
MINISTER_OF_MASS_MEDIA_CONTINUED,23,8. Providing essential physical and human resources to all hospitals,,
MINISTER_OF_MASS_MEDIA_CONTINUED,24,9. Introducing new strategies for expanding research opportunities in the field of healthcare,,
MINISTER_OF_MASS_MEDIA_CONTINUED,25,10. Achieving the Sustainable Development Goals relevant to the health service,,
MINISTER_OF_MASS_MEDIA_CONTINUED,26,"11. Formulating a methodology to regulate private hospitals, medical services and laboratory services within the framework of a national policy, and for the delivery of a systematic service.",,
MINISTER_OF_MASS_MEDIA_CONTINUED,27,"12. Upgrading a hospital in each district to the level of a National Hospital, and expanding",,
