Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,2,Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.,,"Tea Subsidy Act, No. 12 of 1958
Tea (Tax and Control of Exports) Act, No. 16 of 1959
Tea Research Board Act, No. 52 of 1993
Tea Shakthi Fund Act, No. 47 of 2000
Tea Small Holdings Development Act, No. 35 of 1975
Rubber Replanting Subsidy Act, No. 36 of 1953
Rubber Research Ordinance, No. 10 of 1930
Rubber Control Act, No. 11 of 1956
Thurusaviya Fund Act, No. 23 of 2000
Tea Shakthi Fund Act, No. 47 of 2000
Promotion of Export Agriculture Act (No. 46 of 1992)
Sugarcane Research Institute Act, No. 75 of 1981
Coconut Development Act, No. 46 of 1971
Coconut Research Board Act, No. 37 of 1950
Kapruka Fund Act, No. 31 of 2005
All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,3,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,4,10. Issuance of licenses related to tea and rubber,26. Coconut Development Authority,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,5,11. Promote rural tea cultivation and encourage small tea holders,27. Coconut Research Institute,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,6,12. Issuance of permits for export of tea,28. Palmyrah Development Board,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,7,13. Expansion of the international tea market for Ceylon Tea with the participation of both state and private sectors,29. Kithul Development Board,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,8,14. Development of crop based cultivation including lands owned by public and private plantation companies,30. Kapruka Fund,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,9,15. Encouragement of rubber related products aimed at local and foreign markets,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,10,16. Formulation and implementation of a plan for proper utilization of lands in the estate sector,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,11,"17. Issuance of licenses related to fragmentation of tea, rubber and coconut and their control",,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,12,18. Implementation of a programme to encourage small plantation crop growers.,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,13,19. Introduction of high yielding varieties to farmers in collaboration with research institutes.,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,14,20. Expansion of export market opportunities and production of high value items through value addition to local products using modern technology.,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,15,21. Take measures to direct small scale agri-entrepreneurs to the global economy by ensuring the security of the minor crops industry.,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,16,Duties & Functions,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,17,22. Provision of necessary incentives and facilities to increase the yield by supplying quality seeds and plants for minor crop cultivations.,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,18,23. Implementation of policies for promotion of sustainable resource use and bio protection including value added production.,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,19,24. Development of local crops such as cinnamon and pepper for the export market under the Sri Lanka Brand instead of re-export.,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,20,25. Revive closed down sugar factories.,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,21,26. Implementation of a technology based programme for sparse water utilization in sugarcane cultivation.,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,22,27. Cultivation of maize required for Thriposha and animal feed within the country.,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,23,28. Establish export villages for small plantation crops.,,
MINISTER_OF_PLANTATION_INDUSTRIES_CONTD.,24,"29. Development, promotion and research on coconut, kithul and palmyrrah related industries.",,
