Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,1,Duties & Functions,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,2,10. Receiving wrecks and ocean salvages,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,3,11. Freight and Shipping Services,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,4,12. Coastwise passenger traffic,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,5,"13. Ship owning, Operating, Ship Managing, Ship Brokering and Agency Services",,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,6,14. Customs House Agency and total Logistics Solution,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,7,15. Developing and regulating International and Domestic Airports,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,8,16. Regulating levy of charges and quality of service delivery by airports,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,9,17. Entering into agreements with other countries for expansion of international air services and adoption of other requisite measures,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,10,18. Promotion and regulation of functions relating to use of airports in Sri Lanka by foreign countries,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,11,19. Expansion of air cargo facilities,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,12,20. Promotion of domestic air travel,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,13,21. Regulation of private air services,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,14,22. Registration of Aircraft,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,15,23. Supervising all Institutions referred to in Column II and matters relating to all subjects assigned to such Institutions,,
MINISTER_OF_PORTS_SHIPPING_AND_AVIATION_CONTD.,16,24. Supervision of all Institutions listed in Column II,,
