Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_POWER_AND_ENERGY_CONTD.,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_POWER_AND_ENERGY_CONTD.,2,5. Meeting the electricity needs of Sri Lanka and safeguarding energy security,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,3,6. Management of demand to ensure energy efficiency,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,4,7. Implementation of a power generation plan based on long-term requirements,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,5,8. Making the power transmission and distribution processes efficient,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,6,9. Creation of a smart network to ensure efficient use of generated electricity.,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,7,10. Reduction of costs for generating electricity and removal of uncertainties during generation.,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,8,11. Controlling greenhouse gas emissions,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,9,12. Rural electrification,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,10,"13. Coordination and implementation of import, refining, storage, distribution and marketing of petroleum-based products and natural gas",,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,11,14. Petroleum production and refining,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,12,15. Exploration of petroleum and natural gases and related activities,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,13,"16. Matters relating to production of gas and by-products from petroleum production sources, maintenance of stocks, production and distribution",,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,14,17. Development of infrastructure facilities in relation to the supply and distribution of fuel,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,15,Duties & Functions,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,16,"18. Formulation of an appropriate energy policy for the control, regulation and utilization of energy resources","Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_POWER_AND_ENERGY_CONTD.,17,19. Development of Renewable Energy,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,18,"20. Encouraging the use of solar power systems and solar battery systems to ensure the availability of low-cost energy for households, office and factories",,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,19,21. Encouraging the private sector and entrepreneurs to undertake renewable energy projects,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,20,22. Increasing energy generation using industrial waste,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,21,23. Matters relating to all other subjects assigned to Institutions listed in Column II,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,22,24. Supervision of the Institutions listed in Column II,,
MINISTER_OF_POWER_AND_ENERGY_CONTD.,23,,,
