Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,1,Duties & Functions,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,2,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,"All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,3,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,4,4. Maintenance of law and order,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,5,5. Implementation of strategies comprising broad reforms that ensures community discipline,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,6,6. Adopting measures to prevent and combat various crimes and anti-social activities that have assumed the proportion of a social calamity,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,7,7. Control of vehicular traffic,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,8,8. Carrying out necessary reforms to enhance the service level of the police service to ensure public safety and bring it closer to the public.,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,9,9. Coordinating the affairs of non-governmental organizations within the national policy framework thereby providing opportunities to contribute to the country's development process.,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,10,10. Matters relating to all other subjects assigned to Institutions listed in Column II,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,11,11. Supervision of all Institutions listed in Column II,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,12,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,13,Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,14,"Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,15,Taking measures to supply consumer goods in high quality at fair price without scarcity in the local market.,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,16,Ensure the supply of food and other essential items at a fair price sufficiently and continuously,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,17,Preventing shortages of goods due to market imbalances,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,18,Broadening the market for local farm products,,
MINISTER_OF_PUBLIC_SECURITY_CONTINUED,19,Expanding the supply of quality goods in the market through imports and local productions,,
