Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,1,9. Promotion of facilities to provide physical fitness for the general public and coordination of activities,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,2,10. Adoption of measures for promoting sports medical facilities and combating doping in sports,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,3,11. Development and management of sports complexes,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,4,12. Promotion of sports associations and sports competitions,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,5,13. Formulation and implementation of attitudinal development programmes aimed at a national programme for meeting the aspirations of the youth,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,6,14. Implementation of youth-centric international development cooperation programmes,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,7,15. Implementation of skills development programmes aimed at unemployed youth,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,8,16. Youth organizations related regulatory and development activities,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,9,"17. Formulating special programmes targeting youth community in such a way as to accord social recognition of the youth competencies, skills and creativity thus enabling them to achieve their objectives",,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,10,18. Establishing a 'Youth Human Resources Data-bank' facilitating local and foreign employment opportunities,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,11,19. Take actions to create youth entrepreneurs and introduce and implement strategies to encourage and create new opportunities for them.,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,12,Duties & Functions,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,13,Matters relating to all other subjects assigned to Institutions listed in Column II,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTD.,14,Supervision of all Institutions listed in Column II,,
