Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,1,Duties & Functions,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,2,9. Promotion of facilities to provide physical fitness for the general public and coordination of activities,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,3,10. Adoption of measures for promoting sports medical facilities and combating doping in sports,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,4,11. Development and management of sports complexes,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,5,12. Promotion of sports associations and sports competitions,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,6,13. Formulation and implementation of attitudinal development programmes aimed at a national programme for meeting the aspirations of the youth,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,7,14. Implementation of youth-centric international development cooperation programmes,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,8,15. Implementation of skills development programmes aimed at unemployed youth,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,9,16. Youth organizations related regulatory and development activities,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,10,"17. Formulating special programmes targeting youth community in such a way as to accord social recognition of the youth competencies, skills and creativity thus enabling them to achieve their objectives",,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,11,18. Establishing a 'Youth Human Resources Data-bank' facilitating local and foreign employment opportunities,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,12,19. Take actions to create youth entrepreneurs and introduce and implement strategies to encourage and create new opportunities for them.,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,13,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,14,Matters relating to all other subjects assigned to Institutions listed in Column II,,
MINISTER_OF_SPORTS_AND_YOUTH_AFFAIRS_CONTINUED,15,Supervision of all Institutions listed in Column II,,
