Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,2,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,7. Department of Land Use Policy Planning,"<br/>State Land Grants (Special Provisions) Act, No. 43 of 1979<br/>State Land Ordinance, No. 8 of 1947<br/>State Lands (Recovery of Possession) Act, No. 7 of 1979<br/>Survey Act, No.17 of 2002<br/>Registration of Title Act, No. 21 of 1998<br/>Land Settlement Ordinance, No. 20 of 1931<br/>All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister."
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,3,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",8. Department of Land Settlement,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,4,4. Development of the tourism industry and promotion of high standards in line with the national policy while raising Sri Lanka's image.,9. Land Reform Commission,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,5,5. Registration and regulation of travel agencies and those involved in the tourism industry.,10. Sri Lanka Survey Department,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,6,"6. Popularise Sri Lanka as a unique tourist island among domestic and foreign tourists highlighting Sri Lanka's biodiversity, rich heritage, environment, climate variations, oceanic resources etc.",11. Institute of Surveying and Mapping,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,7,"7. Promotion of holiday resorts, internationally recognized centres related to conferences, exhibition and entertainment facilities, hotel facilities, air and sea travel for tourists.",12. Land Survey Council,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,8,8. Provision of required facilities to encourage those engaged in the tourism trade and related entrepreneurs.,13. Land Acquisition Board of Review,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,9,9. Ensure safety of tourists.,,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,10,10. Administration and management of state lands,,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,11,11. Formulation of a land use policy,,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,12,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,13,12. Advising on land use,,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,14,13. Matters relating to land settlement and registration of land titles,,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,15,"14. Provide without delay and in due manner, land required for the country's development",,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,16,15. Acquisition of lands required for government activities,,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,17,16. Administration of lands vested in the Land Reform Commission and distribution of land in accordance with the law,,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,18,"17. Land surveying and mapping, provision of land information and related services",,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,19,18. Preparing and updating a database on lands assigned to the Government and the Land Reforms Commission,,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,20,19. Matters relating to all other subjects assigned to Institutions listed in Column II,,
MINISTER_OF_TOURISM_AND_LANDS_CONTD.,21,20. Supervision of all Institutions listed in Column II,,
