Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_TRADE_COMMERCE_AND_FOOD_SECURITY_CONTD.,1,9. Maintaining international trade relations,,
MINISTER_OF_TRADE_COMMERCE_AND_FOOD_SECURITY_CONTD.,2,10. Organizing participation in trade fairs and exhibitions,,
MINISTER_OF_TRADE_COMMERCE_AND_FOOD_SECURITY_CONTD.,3,11. Copyright matters relating to the administration of the International Convention on Intellectual Property and the World Intellectual Property Office,,
MINISTER_OF_TRADE_COMMERCE_AND_FOOD_SECURITY_CONTD.,4,12. Make the process for patent granting efficient.,,
MINISTER_OF_TRADE_COMMERCE_AND_FOOD_SECURITY_CONTD.,5,13. Formulation and implementation of national pricing policies with regard to consumer goods,,
MINISTER_OF_TRADE_COMMERCE_AND_FOOD_SECURITY_CONTD.,6,14. Taking measures to ensure market competitiveness thereby minimizing the market imperfection and encouraging self-regulation,,
MINISTER_OF_TRADE_COMMERCE_AND_FOOD_SECURITY_CONTD.,7,15. Taking measures to protect the consumers by supplying quality products at minimum competitive prices continuously and preventing speculative behavior of the suppliers,,
MINISTER_OF_TRADE_COMMERCE_AND_FOOD_SECURITY_CONTD.,8,16. Expand cooperative sales outlet network and people-centric goods and services distribution centres,,
MINISTER_OF_TRADE_COMMERCE_AND_FOOD_SECURITY_CONTD.,9,17. All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_TRADE_COMMERCE_AND_FOOD_SECURITY_CONTD.,10,18. Supervision of all Institutions listed in Column II,,
