Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,1,7. Establishment of car parks to reduce traffic congestion,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,2,8. Development and modernization of rural road network,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,3,9. Develop an alternative road system for high level access to major roads and expressways,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,4,10. Modernization of bridges system connecting road networking,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,5,11. Providing passenger ferry services,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,6,12. Providing a safe and reliable passenger transport service,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,7,13. Introducing an environmental friendly transport system,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,8,14. Regulating private transport services,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,9,15. Establishment of a local industry system related to production of buses and transport sector,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,10,"16. Constructing new railway lines, maintenance and widening existing railway lines, acquisition of lands in relation thereto and infrastructure development including all related matters",,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,11,17. Expansion and establishment of facilities in order to transport goods to the sea ports by train transportation,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,12,18. Registration and licensing of motor vehicles,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,13,19. Issuance of driving licenses,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,14,20. Regulation and issuance of guidelines and laws relating to motor traffic,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,15,Duties & Functions,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,16,21. Launch strategic programmes in order to harness the contribution of the transport sector to minimize emission of greenhouse gases,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,17,22. All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_TRANSPORT_AND_HIGHWAYS_CONTD.,18,23. Supervision of the Institutions listed in Column II,,
