Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,1,Duties & Functions,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,2,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,"All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,3,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,4,"Protection and conservation of forests, fauna and flora",,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,5,Adoption of measures to conserve ecosystems when promoting tourism industry in wildlife protected areas.,,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,6,"Implementation of a mechanism to minimize damages caused by wild animals to housing, property and cultivations in rural areas",,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,7,Formulation and implementation of a system with rural community participation for the protection of villages and settlements to prevent elephant-human conflicts,,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,8,"Matters relating to collection and exhibition of various animals, birds and reptiles",,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,9,Forests and Forestry matters,,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,10,Preservation of forest density and expansion of green cover,,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,11,Promotion of commercial forestry to meet the demand for timber while preserving the forest density of the country,,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,12,Conservation of wetlands and mangrove ecosystems,,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,13,Duties & Functions,,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,14,Matters relating to all other subjects assigned to Institutions listed in Column II,,
MINISTER_OF_WILDLIFE_AND_FOREST_RESOURCES_CONSERVATION_CONTD.,15,Supervision of all Institutions listed in Column II,,
