Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_WOMEN_CHILD_AFFAIRS_AND_SOCIAL_EMPPOWERMENT_CONTINUED,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_WOMEN_CHILD_AFFAIRS_AND_SOCIAL_EMPPOWERMENT_CONTINUED,2,Provision of public services under the purview of the Ministry in an efficient and people friendly manner,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_WOMEN_CHILD_AFFAIRS_AND_SOCIAL_EMPPOWERMENT_CONTINUED,3,"Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.","Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_WOMEN_CHILD_AFFAIRS_AND_SOCIAL_EMPPOWERMENT_CONTINUED,4,Implementation of Women's Charter,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_WOMEN_CHILD_AFFAIRS_AND_SOCIAL_EMPPOWERMENT_CONTINUED,5,Formulation and implementation of strategies to enhance women's participation and representation in decision making in state affairs and the political field,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_WOMEN_CHILD_AFFAIRS_AND_SOCIAL_EMPPOWERMENT_CONTINUED,6,Adoption of necessary measures for empowerment of women affected by conflicts and poverty,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_WOMEN_CHILD_AFFAIRS_AND_SOCIAL_EMPPOWERMENT_CONTINUED,7,Strengthening and Implementation of laws and policies for the prevention of women and child abuse,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_WOMEN_CHILD_AFFAIRS_AND_SOCIAL_EMPPOWERMENT_CONTINUED,8,Amending existing laws and formulation and implementing new laws and policies to prevent discrimination against women on the basis of sex and gender,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_WOMEN_CHILD_AFFAIRS_AND_SOCIAL_EMPPOWERMENT_CONTINUED,9,Formulation and implementation of policies and programmes for the empowerment of women headed households,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_WOMEN_CHILD_AFFAIRS_AND_SOCIAL_EMPPOWERMENT_CONTINUED,10,Accomplishment of Sustainable development Goals in relation to women and child affairs,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
