Minister,Row_ID,Column I,Column II,Column III
"Ports, Shipping and Aviation",1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
"Ports, Shipping and Aviation",2,"1. Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subjects of ports, shipping and aviation, and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","1. Sri Lanka Ports Authority and its Subsidiaries and Associates
2. Ceylon Shipping Corporation Ltd.
3. Merchant Shipping Secretariat
4. Civil Aviation Authority of Sri Lanka
5. Airport and Aviation Services (Sri Lanka) Ltd.
6. Sri Lankan Air Lines Limited and its subsidiaries","• Ceylon Shipping Corporation Act, No. 11 of 1971
• Licensing of Shipping Agents Act, No. 10 of 1972
• Masters Attendant Ordinance, No. 6 of 1865
• Merchant Shipping Act, No. 52 of 1971
• Sri Lanka Ports Authority Act, No. 51 of 1979
• Graving Dock and Patent Ship Ordinance, No. 5 of 1908
• Boat Ordinance, No. 4 of 1900
• Civil Aviation Authority of Sri Lanka Act, No. 34 of 2002
• Civil Aviation Act, No. 14 of 2010
• Air Navigation (Special Provisions) Act, No. 2 of 1982
• Carriage by Air Act, No. 29 of 2018
• Air Navigation Act, No. 15 of 1950
• All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister."
"Ports, Shipping and Aviation",3,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
"Ports, Shipping and Aviation",4,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
"Ports, Shipping and Aviation",5,4. Development and Management of Commercial Harbours and expanding their investment opportunities,,
"Ports, Shipping and Aviation",6,5. Development of Container Yards,,
"Ports, Shipping and Aviation",7,"6. Development and administration of port oil installations, light houses and beacons, other than those belonging to Admiralty",,
"Ports, Shipping and Aviation",8,7. Arbitration of disputes between shipping service providers and users,,
"Ports, Shipping and Aviation",9,8. Establishment of rules of competition for shipping services,,
"Ports, Shipping and Aviation",10,9. Assist in establishing consultative coordination between shipping service providers and users,,
